"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"0","1","45430486","Fränsin","8900851","02/11/2015","52.48871924083382","13.460991984674992","1","Cosy little flat in Berlin","Plänterwald","Treptow - Köpenick","3","55","0.08","Entire home/apt"
"0","1","5501185","Penelope","8904246","","52.499549516712165","13.443761968954199","4","1 room apartment Berlin","südliche Luisenstadt","Friedrichshain-Kreuzberg","0","60","","Entire home/apt"
"0","1","46080702","María Cristina","8916072","","52.551915088184494","13.401261069390475","4","59 mt2 furnished apartment(2-4 per)","Prenzlauer Berg Nordwest","Pankow","0","45","","Entire home/apt"
"0","1","46638999","Katharina","8918351","05/01/2016","52.48311134294092","13.435966365447335","14","Beautiful and quiet studio flat","Reuterstraße","Neukölln","1","39","0.03","Entire home/apt"
"0","2","10429786","Liese","8918833","15/10/2018","52.464004402352565","13.432649828359986","2","comfy flat/ gemütl. Whg. in Neukölln","Schillerpromenade","Neukölln","21","38","0.57","Private room"
"21","1","31015484","Melanie","8919542","29/10/2018","52.512072967594136","13.470151070898703","3","Beautiful and large bedroom with view to courtyard","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","10","39","0.4","Private room"
"0","1","46645842","Sona","8919834","23/12/2015","52.50992536808414","13.462695962829333","1","2 Zimmer Wohnung in Friedrichshain","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","1","25","0.03","Entire home/apt"
"98","10","84157","Emanuela","8928201","23/10/2018","52.49250983962887","13.427230579869489","3","Nice flat at the Maybachufer","Reuterstraße","Neukölln","63","55","1.69","Entire home/apt"
"0","1","46540344","Karsten","8929146","","52.55024224905179","13.460077970477679","14","Big and quiet Room","Weißensee","Pankow","0","35","","Private room"
"0","1","34637102","Monica","8929380","01/08/2016","52.535449243464555","13.438020893258791","21","Wunderschöne Wohnung, zentrale Lage","Prenzlauer Berg Ost","Pankow","2","27","0.05","Private room"
"0","1","29146799","Livia","8932753","05/01/2016","52.483077400862804","13.441837242531001","1","Altbauzimmer in Neukölln, zentral","Reuterstraße","Neukölln","1","20","0.03","Private room"
"0","1","46704861","Nikolas","8932801","","52.53472281240011","13.357927243006143","1","WG Zimmer in Altbauwohnung","Moabit Ost","Mitte","0","40","","Private room"
"0","1","6711159","Martin","8934251","","52.4886425628658","13.454223072845258","1","Nice room near Treptower Park","Alt  Treptow","Treptow - Köpenick","0","30","","Private room"
"36","1","46716635","Mahmoud","8935498","","52.57077459105808","13.411411166437052","14","Ein Zimmer für 2 Wochen Silverster","Pankow Zentrum","Pankow","0","40","","Private room"
"0","1","46720356","Anna","8936326","30/07/2018","52.510149839129646","13.44750705149087","3","1 Zimmer in 2 Zimmer Wohnung zu vermieten.","Karl-Marx-Allee-Süd","Friedrichshain-Kreuzberg","10","50","0.28","Entire home/apt"
"0","1","13815609","Jose Luis","8937422","23/11/2015","52.528684321434426","13.390224365131173","1","Quite and functional room in the area of Torstr.","Brunnenstr. Süd","Mitte","1","50","0.03","Private room"
"7","2","46714691","Anna","8939265","","52.51305992291303","13.47280300678882","3","Cozy 1-room-apartment near Boxhagener Platz","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","0","60","","Entire home/apt"
"0","1","23460269","Tave","8947725","04/08/2016","52.48947848544513","13.391697349502655","3","Indian Spirit in the Heart of Kreuzberg","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","9","50","0.24","Entire home/apt"
"1","1","5364128","Michał","8948114","23/09/2018","52.53435498341349","13.353212234261115","1","Cosy room close to HBF central station","Moabit Ost","Mitte","38","29","1.03","Private room"
"233","5","22921453","Catalin","8949073","02/10/2018","52.499562444386605","13.425025856861504","28","Bright spacious room, best location","nördliche Luisenstadt","Friedrichshain-Kreuzberg","65","39","1.8","Private room"
"0","1","46778937","Rémi","8949831","03/11/2015","52.555212885476806","13.386641703557546","1","Osloer Dtr. WG","Osloer Straße","Mitte","1","17","0.03","Private room"
"0","1","19898645","Jon","8951870","19/09/2018","52.54702787774631","13.34956929923364","7","Cozy 23qm room in Wedding, authentic, not touristy","Parkviertel","Mitte","14","22","0.74","Private room"
"328","1","46794419","Michelle","8953038","20/10/2018","52.47917514825217","13.350203572958492","2","Cosy room in lovely Schöneberg","Schöneberg-Süd","Tempelhof - Schöneberg","11","25","0.31","Private room"
"0","1","46833212","David","8961034","","52.54439038067839","13.415885403587588","16","Charmante Altbauwohnung in P-Berg","Helmholtzplatz","Pankow","0","50","","Entire home/apt"
"0","1","18959405","Anne","8961441","24/01/2016","52.547031766880686","13.410930501641703","3","Cozy Apartment near Mauerpark","Prenzlauer Berg Nordwest","Pankow","3","50","0.08","Entire home/apt"
"310","1","46835837","Igor","8961505","06/10/2018","52.467120089758694","13.33919678496309","2","Gemütliches Zimmer in Bln-Friedenau","Friedenau","Tempelhof - Schöneberg","9","35","0.3","Private room"
"0","2","28358591","Irene","8965134","17/08/2018","52.55290950769557","13.341265711468903","4","Nice apartment, 1 Bedroom, balkony","Parkviertel","Mitte","19","28","0.51","Private room"
