"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"278","1","3908898","Sebastian","15209202","16/04/2017","52.49767733445742","13.439144290927153","20","charming and central for a small family or couple","südliche Luisenstadt","Friedrichshain-Kreuzberg","2","85","0.09","Entire home/apt"
"0","1","96666255","Judith","15214733","15/07/2018","52.43412230020498","13.51207288077621","2","Haus 114 qm mit Garten, nahe an Stadtautobahn","Johannisthal","Treptow - Köpenick","4","83","0.16","Entire home/apt"
"141","3","88135942","Lina","15226698","09/08/2018","52.52777644593343","13.348925334115934","61","Sun yard 3","Moabit Ost","Mitte","17","80","0.98","Entire home/apt"
"0","1","13952485","Rick","15227472","30/07/2018","52.53836582575125","13.42339352026726","2","Helle Freundliche 3-Zimmerwohnung","Prenzlauer Berg Südwest","Pankow","18","150","0.75","Entire home/apt"
"130","3","88135942","Lina","15229038","06/06/2018","52.527578475509365","13.336850483252263","3","Sun yard 2","Moabit West","Mitte","16","76","1.05","Entire home/apt"
"342","1","68554371","Jens","15235950","25/10/2018","52.500897837323805","13.365665017267878","3","Cosy and central Apartment","Tiergarten Süd","Mitte","29","95","1.16","Entire home/apt"
"337","6","73706066","Marls","15243579","24/10/2018","52.53173366152305","13.339847716044552","90","Bohemian Berlin Apartment 6","Moabit West","Mitte","97","99","3.79","Entire home/apt"
"42","1","96935057","Mathias","15244823","","52.50985307776943","13.455386600422448","5","Friedrichshain Dachgeschoß","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","0","180","","Private room"
"12","1","4841395","Daniel","15248465","06/10/2018","52.48590785247711","13.365053251106568","2","Lovely flat in the heart of Schöneberg","Schöneberg-Süd","Tempelhof - Schöneberg","27","69","1.06","Entire home/apt"
"342","17","34705166","Johannes","15248889","17/10/2018","52.522632874540854","13.45357655767716","2","Nähe Warschauer Strasse","Frankfurter Allee Nord","Friedrichshain-Kreuzberg","20","86","0.79","Entire home/apt"
